codigo_predial,manzent,id_segmento_calle,codigo_calle,nombre_calle,tipo_calle,id_edge,num_edges,edge,geom_wkt
151600050700045,13132011003022,308146,V1313210426,O'BRIEN,CALLE,3,4,"[-70.59490851351336, -33.39983208081302]","POLYGON((-70.59490851351336 -33.39983208081302, -70.59471716783756 -33.399875394029266, -70.59463313538086 -33.39961421713208, -70.59482448053656 -33.39957090405948, -70.59490851351336 -33.39983208081302))"
151600050700045,13132011003022,309083,V1313210644,O'BRIEN,PASAJE,3,4,"[-70.59490851351336, -33.39983208081302]","POLYGON((-70.59490851351336 -33.39983208081302, -70.59471716783756 -33.399875394029266, -70.59463313538086 -33.39961421713208, -70.59482448053656 -33.39957090405948, -70.59490851351336 -33.39983208081302))"
151600050700045,13132011003022,308142,V1313210426,O'BRIEN,CALLE,3,4,"[-70.59490851351336, -33.39983208081302]","POLYGON((-70.59490851351336 -33.39983208081302, -70.59471716783756 -33.399875394029266, -70.59463313538086 -33.39961421713208, -70.59482448053656 -33.39957090405948, -70.59490851351336 -33.39983208081302))"
151600050700046,13132011003022,308146,V1313210426,O'BRIEN,CALLE,5,5,"[-70.5950202990466, -33.39980665466298]","POLYGON((-70.5950202990466 -33.39980665466298, -70.59490851351336 -33.39983208081302, -70.59482410276549 -33.39957098977872, -70.59493588799525 -33.399545563712934, -70.5950202990466 -33.39980665466298))"
151600050700047,13132011003022,308146,V1313210426,O'BRIEN,CALLE,4,4,"[-70.59520168701142, -33.399765633443174]","POLYGON((-70.59520168701142 -33.399765633443174, -70.5950202990466 -33.39980665466298, -70.59493633913038 -33.39954546139418, -70.59511772660208 -33.39950444031046, -70.59520168701142 -33.399765633443174))"
151600050700051,13132011003022,308146,V1313210426,O'BRIEN,CALLE,3,4,"[-70.5954851159997, -33.399701384943036]","POLYGON((-70.5954851159997 -33.399701384943036, -70.59520168701142 -33.399765633443174, -70.59511754358701 -33.39950448174817, -70.59540097180518 -33.399440233461064, -70.5954851159997 -33.399701384943036))"
151600050700051,13132011003022,308149,V1313210426,O'BRIEN,CALLE,3,4,"[-70.5954851159997, -33.399701384943036]","POLYGON((-70.5954851159997 -33.399701384943036, -70.59520168701142 -33.399765633443174, -70.59511754358701 -33.39950448174817, -70.59540097180518 -33.399440233461064, -70.5954851159997 -33.399701384943036))"
151600050700051,13132011003022,309082,V1313210644,O'BRIEN,PASAJE,3,4,"[-70.5954851159997, -33.399701384943036]","POLYGON((-70.5954851159997 -33.399701384943036, -70.59520168701142 -33.399765633443174, -70.59511754358701 -33.39950448174817, -70.59540097180518 -33.399440233461064, -70.5954851159997 -33.399701384943036))"
151600050900001,13132011002009,306964,V1313210167,CANDELARIA GOYENECHEA,CALLE,1,4,"[-70.59266172607587, -33.39946332354549]","POLYGON((-70.59266172607587 -33.39946332354549, -70.59260535976762 -33.39913189893275, -70.59292464508646 -33.399093694778664, -70.59298101257053 -33.399425119213035, -70.59266172607587 -33.39946332354549))"
151600050900001,13132011002009,306985,V1313210167,CANDELARIA GOYENECHEA,CALLE,1,4,"[-70.59266172607587, -33.39946332354549]","POLYGON((-70.59266172607587 -33.39946332354549, -70.59260535976762 -33.39913189893275, -70.59292464508646 -33.399093694778664, -70.59298101257053 -33.399425119213035, -70.59266172607587 -33.39946332354549))"
151600050900001,13132011002009,306952,V1313210167,CANDELARIA GOYENECHEA,CALLE,1,4,"[-70.59266172607587, -33.39946332354549]","POLYGON((-70.59266172607587 -33.39946332354549, -70.59260535976762 -33.39913189893275, -70.59292464508646 -33.399093694778664, -70.59298101257053 -33.399425119213035, -70.59266172607587 -33.39946332354549))"
151600050900001,13132011002009,306967,V1313210167,CANDELARIA GOYENECHEA,CALLE,1,4,"[-70.59266172607587, -33.39946332354549]","POLYGON((-70.59266172607587 -33.39946332354549, -70.59260535976762 -33.39913189893275, -70.59292464508646 -33.399093694778664, -70.59298101257053 -33.399425119213035, -70.59266172607587 -33.39946332354549))"
151600050900002,13132011002009,306969,V1313210167,CANDELARIA GOYENECHEA,CALLE,1,4,"[-70.59260631404634, -33.39913116520904]","POLYGON((-70.59260631404634 -33.39913116520904, -70.59254722803013 -33.398780295681924, -70.59286657443168 -33.39874246001709, -70.59292566169356 -33.39909332935683, -70.59260631404634 -33.39913116520904))"
151600050900002,13132011002009,306985,V1313210167,CANDELARIA GOYENECHEA,CALLE,1,4,"[-70.59260631404634, -33.39913116520904]","POLYGON((-70.59260631404634 -33.39913116520904, -70.59254722803013 -33.398780295681924, -70.59286657443168 -33.39874246001709, -70.59292566169356 -33.39909332935683, -70.59260631404634 -33.39913116520904))"
151600050900002,13132011002009,306952,V1313210167,CANDELARIA GOYENECHEA,CALLE,1,4,"[-70.59260631404634, -33.39913116520904]","POLYGON((-70.59260631404634 -33.39913116520904, -70.59254722803013 -33.398780295681924, -70.59286657443168 -33.39874246001709, -70.59292566169356 -33.39909332935683, -70.59260631404634 -33.39913116520904))"
151600050900002,13132011002009,306974,V1313210167,CANDELARIA GOYENECHEA,CALLE,1,4,"[-70.59260631404634, -33.39913116520904]","POLYGON((-70.59260631404634 -33.39913116520904, -70.59254722803013 -33.398780295681924, -70.59286657443168 -33.39874246001709, -70.59292566169356 -33.39909332935683, -70.59260631404634 -33.39913116520904))"
151600050900002,13132011002009,307546,V1313210303,JUAN BAUTISTA PASTENES,CALLE,1,4,"[-70.59260631404634, -33.39913116520904]","POLYGON((-70.59260631404634 -33.39913116520904, -70.59254722803013 -33.398780295681924, -70.59286657443168 -33.39874246001709, -70.59292566169356 -33.39909332935683, -70.59260631404634 -33.39913116520904))"
151600050900005,13132011002009,306964,V1313210167,CANDELARIA GOYENECHEA,CALLE,1,6,"[-70.59274216065903, -33.39994703067322]","POLYGON((-70.59274216065903 -33.39994703067322, -70.59267060963666 -33.399520025511194, -70.59298998965946 -33.399482373959735, -70.5930615421984 -33.399909378894584, -70.59274216065903 -33.39994703067322))"
151600050900005,13132011002009,306967,V1313210167,CANDELARIA GOYENECHEA,CALLE,1,6,"[-70.59274216065903, -33.39994703067322]","POLYGON((-70.59274216065903 -33.39994703067322, -70.59267060963666 -33.399520025511194, -70.59298998965946 -33.399482373959735, -70.5930615421984 -33.399909378894584, -70.59274216065903 -33.39994703067322))"
151600050900007,13132011002009,307190,V1313210218,EDUARDO MARQUINA,CALLE,3,4,"[-70.5917639734094, -33.39924686001743]","POLYGON((-70.5917639734094 -33.39924686001743, -70.59184449870702 -33.39957076033631, -70.59152877057268 -33.39962598359843, -70.59144824637885 -33.39930208304412, -70.5917639734094 -33.39924686001743))"
