manzent,predios_estrategicos,num_predios_estrategicos,tipo_control,num_combis_consideradas,num_combis_disponibles,num_predios_considerados,num_predios_disponibles
13120051002002,"[151050395400051, 151050395400052]",2,sin_control,3,3,11,11
13120051002003,[151050395600022],1,sin_control,6,6,11,11
13120051002004,[151050395800011],1,sin_control,6,6,4,4
13120051002005,[151050405800003],1,sin_control,23,23,23,23
13120051002006,[151050405600018],1,sin_control,25,25,23,23
13120051002007,[151050515800003],1,sin_control,15,15,22,22
13120051002008,[151050515600009],1,sin_control,23,23,23,23
13120051002009,"[151050515400040, 151050515400041, 151050515400042, 151050515400043]",4,sin_control,2,2,6,6
13120051002010,"[151050515400035, 151050515400036, 151050515400037, 151050515400038]",4,sin_control,2,2,7,7
13120051002011,[151050515400027],1,sin_control,8,8,20,20
13120051002012,[151050515200041],1,sin_control,17,17,19,19
13120051002013,"[151050565200076, 151050565200077, 151050565200078]",3,sin_control,4,4,13,13
13120051002014,"[151050565200053, 151050565200054, 151050565200055, 151050565200056, 151050565200057]",5,sin_control,1,1,5,5
13120051002015,"[151050565200041, 151050565200042, 151050565200084, 151050565200085, 151050565200086, 151050565200088, 151050565200116]",7,sin_control,2,2,10,10
13120051002017,"[151050565200089, 151050565200090, 151050565200091, 151050565200092]",4,sin_control,1,1,4,4
13120051002019,"[151050565200096, 151050565200097]",2,sin_control,9,9,12,12
13120051002022,"[151050565400040, 151050565400041]",2,sin_control,7,7,15,15
13120051002023,"[151050565400015, 151050565400016, 151050565400017, 151050565400057, 151050565400079]",5,sin_control,1,1,5,5
13120051002024,[151050565600003],1,sin_control,9,9,13,13
13120051002025,[151050565800003],1,sin_control,4,4,6,6
13120051002030,"[151050565600073, 151050565600074, 151050565600075]",3,sin_control,4,4,9,9
13120051002033,[151050565800017],1,sin_control,12,12,15,15
13120051002034,"[151050565800036, 151050565800037, 151050565800038, 151050565800039]",4,sin_control,3,3,9,9
13120051002035,"[151050565600030, 151050565600031, 151050565600032]",3,sin_control,4,4,12,12
13120051002036,"[151050565600057, 151050565600058, 151050565600059]",3,sin_control,5,5,10,10
13120051002037,"[151050565400034, 151050565400075]",2,sin_control,2,2,4,4
13120051002039,[151050585200017],1,con_control,8,8,14,14
13120051002040,"[151050585200007, 151050585200036]",2,sin_control,8,8,16,16
13120051002041,"[151050585200058, 151050585200059]",2,sin_control,15,15,29,29
13120051002044,[151050585600026],1,sin_control,12,12,13,13
13120051002045,"[151050585600040, 151050585600041]",2,sin_control,5,5,10,10
13120051002046,"[151050585800037, 151050585800038]",2,sin_control,7,7,11,11
13120051002047,"[151050585800068, 151050585800069, 151050585800070]",3,sin_control,2,2,5,5
13120051002048,"[151050585800016, 151050585800071, 151050585800072, 151050585800073]",4,sin_control,1,1,4,4
13120051002050,"[151050585800045, 151050585800046, 151050585800047, 151050585800048]",4,sin_control,1,1,4,4
13120051002053,"[151050585600017, 151050585600035]",2,sin_control,3,3,4,4
13120051002054,"[151050585800032, 151050585800052]",2,sin_control,3,3,5,5
13120051002056,"[151050714100030, 151050714100031]",2,sin_control,2,2,4,4
13120051002057,[151050714100009],1,sin_control,33,33,20,20
13120051003001,[151050564100014],1,sin_control,39,39,25,25
13120051003002,[151050564200011],1,sin_control,18,18,28,28
13120051003003,[151050574300037],1,sin_control,13,13,21,21
13120051003004,"[151050584300003, 151050584300004]",2,sin_control,5,5,9,9
13120051003005,[151050574500007],1,sin_control,50,92,30,54
13120051003006,[151050584900019],1,sin_control,44,44,19,19
13120051003007,[151050574900019],1,sin_control,38,38,21,21
13120051003008,[151050575000006],1,sin_control,38,38,21,21
13120051003009,[151050585000017],1,sin_control,28,28,19,19
13120051004001,[151050393900035],1,sin_control,15,15,11,11
13120051004002,"[151050394100001, 151050394100002, 151050394100003]",3,sin_control,2,2,6,6
13120051004004,[151050514100027],1,sin_control,44,44,30,30
13120051004005,[151050513900014],1,sin_control,5,5,17,17
13120061001001,"[151050623900002, 151050623900019]",2,sin_control,3,3,8,8
13120061001003,[151050644800006],1,sin_control,31,31,27,27
13120061001004,[151050644700006],1,sin_control,27,27,26,26
13120061001005,[151050644600007],1,sin_control,26,26,27,27
13120061001006,[151050654500006],1,sin_control,25,25,26,26
13120061001007,[151050654400007],1,sin_control,26,26,26,26
13120061001008,[151050664200006],1,sin_control,19,19,29,29
13120061001009,"[151050664300003, 151050664300004, 151050664300005, 151050664300006, 151050664300007]",5,sin_control,3,3,7,7
13120061001014,"[151050654800013, 151050654800014, 151050654800015]",3,sin_control,14,14,20,20
13120061001015,[151050654900011],1,sin_control,10,10,14,14
13120061001016,[151050664900008],1,sin_control,14,14,19,19
13120061001019,[151050664800012],1,sin_control,17,17,23,23
13120061001021,[151050664700013],1,sin_control,25,25,26,26
13120061001023,[151050664600013],1,sin_control,20,20,20,20
13120061001024,[151050664500012],1,sin_control,26,26,26,26
13120061001026,"[151050674300012, 151050674300013]",2,sin_control,17,17,23,23
13120061001027,[151050674200013],1,sin_control,18,18,16,16
13120061001028,"[151050653900034, 151050653900035]",2,sin_control,4,4,10,10
13120061001029,"[151050653900058, 151050653900063]",2,sin_control,5,5,10,10
13120061003008,[151050626600006],1,sin_control,9,9,15,15
13120061003009,[151050626700016],1,sin_control,5,5,16,16
13120061003011,[151050626400020],1,sin_control,32,32,24,24
13120061003012,[151050626300019],1,sin_control,9,9,20,20
13120061003013,[151050626100006],1,sin_control,13,13,23,23
13120061003016,[151050625900020],1,sin_control,18,18,21,21
13120061003017,[151050626000009],1,sin_control,17,17,24,24
13120061003018,[151050626200005],1,con_control,5,5,9,9
13120061003019,[151050636200019],1,sin_control,10,10,18,18
13120061003021,[151050636500005],1,sin_control,10,10,22,22
13120061003022,[151050626800005],1,sin_control,9,9,21,21
13120061004001,[151050635900017],1,sin_control,18,18,24,24
13120061004002,[151050636000008],1,sin_control,13,13,21,21
13120061004004,[151050645900020],1,sin_control,7,7,15,15
13120061004005,[151050646200017],1,sin_control,9,9,24,24
13120061004006,[151050646300008],1,sin_control,14,14,24,24
13120061004007,"[151050636600020, 151050636600021, 151050636600022, 151050636600023, 151050636600024]",5,sin_control,1,1,5,5
13120061004008,"[151050646600008, 151050646600009, 151050646600010]",3,sin_control,3,3,7,7
13120061004010,[151050646800009],1,sin_control,14,14,24,24
13120061004015,[151050666600003],1,sin_control,10,10,20,20
13120061004016,[151050656700006],1,con_control,8,8,16,16
13120061004017,[151050656600006],1,sin_control,14,14,19,19
13120061004018,[151050656500005],1,sin_control,13,13,24,24
13120061004020,"[151050656200008, 151050656200009]",2,sin_control,3,3,11,11
13120061004021,[151050655900005],1,sin_control,14,14,22,22
13120061004022,"[151050656000014, 151050656000015, 151050656000016, 151050656000017, 151050656000018]",5,sin_control,3,3,15,15
13120061004023,[151050665900005],1,sin_control,14,14,24,24
13120061004025,[151050666200005],1,sin_control,9,9,17,17
13120061004026,"[151050666100008, 151050666100009, 151050666100010]",3,sin_control,6,6,22,22
13120061005002,[151050625400022],1,sin_control,19,19,26,26
13120061005004,"[151050625700006, 151050625700007, 151050625700008, 151050625700009, 151050625700010, 151050625700011]",6,sin_control,2,2,12,12
13120061005006,[151050625500006],1,sin_control,22,22,23,23
13120061005007,[151050635400018],1,sin_control,17,17,21,21
13120061005009,"[151050635600006, 151050635600007, 151050635600008, 151050635600009, 151050635600010, 151050635600011]",6,sin_control,1,1,6,6
13120061005011,[151050635500005],1,sin_control,9,9,21,21
13120061005012,"[151050645400006, 151050645400007]",2,sin_control,4,4,21,21
13120061005013,"[151050645600007, 151050645600008, 151050645600009, 151050645600014, 151050645600015, 151050645600016, 151050645600017]",7,sin_control,5,5,13,13
13120061005014,"[151050645700014, 151050645700015, 151050645700016, 151050645700017, 151050645700018]",5,sin_control,2,2,9,9
13120061005015,"[151050645500004, 151050645500005, 151050645500006]",3,sin_control,10,10,19,19
13120061005017,"[151050655600006, 151050655600007, 151050655600008, 151050655600009, 151050655600010, 151050655600011]",6,sin_control,2,2,12,12
13120061005019,"[151050655500020, 151050655500021, 151050655500022, 151050655500023]",4,sin_control,5,5,19,19
13120061005022,"[151050675600016, 151050675600017]",2,sin_control,20,20,18,18
13120061005024,[151050675100031],1,sin_control,34,34,16,16
13120061005025,"[151050665100003, 151050665100004, 151050665100005, 151050665100006, 151050665100007]",5,sin_control,3,3,7,7
13120061005026,[151050665000008],1,sin_control,28,28,25,25
13120071001002,"[151050512900034, 151050512900035]",2,sin_control,2,2,4,4
13120071001003,[151050542900031],1,sin_control,6,6,10,10
13120071001004,[151050562900003],1,sin_control,6,6,9,9
13120071002001,"[151050393200001, 151050393200002, 151050393200032]",3,sin_control,3,3,6,6
13120071002004,"[151050513200005, 151050513200006, 151050513200007, 151050513200008]",4,sin_control,6,6,15,15
13120071002005,[151050543200038],1,sin_control,20,20,17,17
13120071003003,[151050563500002],1,sin_control,5,5,9,9
13120071004002,[151050603200487],1,sin_control,7,7,13,13
13120071004003,"[151050583500011, 151050583500012]",2,sin_control,7,7,11,11
13120071005003,[151050613300158],1,sin_control,17,17,15,15
13120071005004,[151050613300190],1,con_control,9,9,7,7
13120071005011,[151050613300018],1,sin_control,6,6,19,19
13120071005012,"[151050613500022, 151050613500023]",2,sin_control,3,3,7,7
13120071005013,[151050623500040],1,sin_control,12,12,20,20
13120071006026,[151050642900096],1,sin_control,5,5,5,5
13120071006027,[151050643200207],1,sin_control,7,7,4,4
13120071006028,"[151050633500025, 151050633500026, 151050633500027]",3,sin_control,8,8,22,22
13120071007001,[151050652900010],1,sin_control,17,17,24,24
13120071007002,"[151050653200004, 151050653200005]",2,sin_control,5,5,10,10
13120071007003,[151050653300004],1,sin_control,9,9,9,9
13120071007005,[151050653500034],1,sin_control,12,12,18,18
13120071007006,[151050663300012],1,sin_control,7,7,11,11
13120071007007,[151050663200020],1,sin_control,23,23,19,19
13120071007008,[151050662900010],1,con_control,4,4,7,7
13120071007009,[151050672900025],1,sin_control,7,7,7,7
13120081003002,"[151050631500003, 151050631500004, 151050631500005, 151050631500006, 151050631500438, 151050631500439, 151050631500440, 151050631500441]",8,sin_control,2,2,10,10
13120081003003,"[151050631500009, 151050631500010, 151050631500444, 151050631500445]",4,sin_control,5,5,12,12
13120081003004,"[151050631500013, 151050631500014, 151050631500015, 151050631500016, 151050631500017, 151050631500018]",6,sin_control,1,1,6,6
13120081003008,"[151050631500208, 151050631500209, 151050631500210, 151050631500211, 151050631500369, 151050631500370, 151050631500371, 151050631500372]",8,sin_control,2,2,10,10
13120081004007,"[151050631900073, 151050631900074, 151050631900075, 151050631900076]",4,sin_control,2,2,6,6
13120081004010,[151050651800024],1,sin_control,27,27,27,27
13120081004011,[151050642000069],1,sin_control,4,4,10,10
13120081004012,[151050652000001],1,sin_control,6,6,3,3
13120081004013,[151050652300020],1,sin_control,4,4,6,6
13120081004014,[151050642300083],1,sin_control,17,17,12,12
13120081004015,"[151050642700083, 151050642700084]",2,sin_control,2,2,10,10
13120081004016,[151050652700017],1,sin_control,4,4,7,7
13120081004017,[151050662700006],1,sin_control,21,21,14,14
13120081004018,[151050672700016],1,sin_control,11,11,12,12
13120081004019,[151050672300015],1,sin_control,17,17,11,11
13120081004020,[151050662300006],1,sin_control,8,8,9,9
13120081004021,[151050662000010],1,sin_control,7,7,11,11
13120081004022,[151050661900002],1,sin_control,10,10,11,11
13120081004026,[151050661600017],1,sin_control,20,20,26,26
13120081004027,[151050661400009],1,sin_control,35,35,27,27
13120081004029,[151050661200003],1,sin_control,6,6,3,3
13120081004031,[151050660100013],1,sin_control,5,5,11,11
13120091001001,"[151050303700002, 151050303700003, 151050303700004, 151050303700005]",4,sin_control,2,2,8,8
13120091002003,[151050611000004],1,con_control,10,10,7,7
13120101001001,"[151050276700008, 151050276700009]",2,sin_control,12,12,9,9
13120101001010,[151050400200009],1,sin_control,9,9,12,12
13120101001011,[151050390300032],1,con_control,2,2,8,8
13120101001013,"[151050540200014, 151050540200015, 151050540200021]",3,sin_control,2,2,4,4
13120101001015,"[151050540100018, 151050540100019]",2,sin_control,1,1,2,2
13120101002003,"[151050390500057, 151050390500058, 151050390500059, 151050390500067]",4,sin_control,1,1,4,4
13120101002004,"[151050510700017, 151050510700018]",2,sin_control,1,1,2,2
13120101003007,"[151050511600024, 151050511600025]",2,sin_control,2,2,7,7
