codigo_predial,id_segmento_calle,codigo_calle,nombre_calle,tipo_calle
151600011590052,307365,V1313210256,FRANCISCO BERTRAND VERGARA,CALLE
151600011590052,307478,V1313210289,ISABEL MONTT,CALLE
151600011590409,308088,V1313210415,NARCISO GOYCOLEA,CALLE
151600011590409,305919,V1313210025,BICENTENARIO,AVENIDA
151600011590409,309166,V1313210673,SIN NOMBRE,PASAJE
151600011790001,305919,V1313210025,BICENTENARIO,AVENIDA
151600011790001,305915,V1313210025,BICENTENARIO,AVENIDA
151600011790001,309166,V1313210673,SIN NOMBRE,PASAJE
151600011790317,307307,V1313210244,ESPOZ,CALLE
151600011790708,305919,V1313210025,BICENTENARIO,AVENIDA
151600011790708,305915,V1313210025,BICENTENARIO,AVENIDA
151600011790708,305921,V1313210025,BICENTENARIO,AVENIDA
151600011790708,309166,V1313210673,SIN NOMBRE,PASAJE
151600040100006,307897,V1313210354,LOS ABEDULES,CALLE
151600040100006,306524,V1313210062,VITACURA,AVENIDA
151600040100006,306243,V1313210049,NUEVA COSTANERA,AVENIDA
151600040100006,306516,V1313210062,VITACURA,AVENIDA
151600040100006,305785,V1313210016,AVENIDA NUEVA COSTANERA,AVENIDA
151600040100007,306576,V1313210062,VITACURA,AVENIDA
151600040100007,306267,V1313210049,NUEVA COSTANERA,AVENIDA
151600040100007,306274,V1313210049,NUEVA COSTANERA,AVENIDA
151600040100007,306524,V1313210062,VITACURA,AVENIDA
151600040100007,306586,V1313210062,VITACURA,AVENIDA
151600040100007,307658,V1313210326,LAS CATALPAS,CALLE
151600040100007,305785,V1313210016,AVENIDA NUEVA COSTANERA,AVENIDA
151600040100010,307897,V1313210354,LOS ABEDULES,CALLE
151600040100010,306524,V1313210062,VITACURA,AVENIDA
151600040100010,306243,V1313210049,NUEVA COSTANERA,AVENIDA
151600040100010,306328,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600040100010,306516,V1313210062,VITACURA,AVENIDA
151600040100616,306576,V1313210062,VITACURA,AVENIDA
151600040100616,306267,V1313210049,NUEVA COSTANERA,AVENIDA
151600040100616,306274,V1313210049,NUEVA COSTANERA,AVENIDA
151600040100616,306524,V1313210062,VITACURA,AVENIDA
151600040100616,306586,V1313210062,VITACURA,AVENIDA
151600040100616,307658,V1313210326,LAS CATALPAS,CALLE
151600040100616,306243,V1313210049,NUEVA COSTANERA,AVENIDA
151600040100616,305785,V1313210016,AVENIDA NUEVA COSTANERA,AVENIDA
151600040190001,306535,V1313210062,VITACURA,AVENIDA
151600040190001,306328,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600040190001,306516,V1313210062,VITACURA,AVENIDA
151600040190001,306537,V1313210062,VITACURA,AVENIDA
151600040190005,307897,V1313210354,LOS ABEDULES,CALLE
151600040190005,306524,V1313210062,VITACURA,AVENIDA
151600040190005,306243,V1313210049,NUEVA COSTANERA,AVENIDA
151600040190005,306516,V1313210062,VITACURA,AVENIDA
151600040190005,305785,V1313210016,AVENIDA NUEVA COSTANERA,AVENIDA
151600040190009,306328,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600040190016,306576,V1313210062,VITACURA,AVENIDA
151600040190016,306274,V1313210049,NUEVA COSTANERA,AVENIDA
151600040190016,306524,V1313210062,VITACURA,AVENIDA
151600040190016,307658,V1313210326,LAS CATALPAS,CALLE
151600040190077,306328,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600040190117,306535,V1313210062,VITACURA,AVENIDA
151600040190117,306516,V1313210062,VITACURA,AVENIDA
151600040190232,307658,V1313210326,LAS CATALPAS,CALLE
151600040190232,307657,V1313210326,LAS CATALPAS,CALLE
151600040190284,306328,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600040190284,307657,V1313210326,LAS CATALPAS,CALLE
151600040190323,307658,V1313210326,LAS CATALPAS,CALLE
151600040190323,307657,V1313210326,LAS CATALPAS,CALLE
151600040190380,306323,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600040190380,306328,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600040190380,307657,V1313210326,LAS CATALPAS,CALLE
151600040190482,307658,V1313210326,LAS CATALPAS,CALLE
151600040190482,307657,V1313210326,LAS CATALPAS,CALLE
151600040390015,306352,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600040390015,306323,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600040390015,308207,V1313210444,PAUL CLAUDEL,CALLE
151600040390020,306323,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600040390191,307775,V1313210335,LAS NIEVES,CALLE
151600040390191,308206,V1313210444,PAUL CLAUDEL,CALLE
151600040390191,308207,V1313210444,PAUL CLAUDEL,CALLE
151600040390305,306323,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600040390389,308207,V1313210444,PAUL CLAUDEL,CALLE
151600040390427,307658,V1313210326,LAS CATALPAS,CALLE
151600040390427,307657,V1313210326,LAS CATALPAS,CALLE
151600040390637,306323,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600040390637,306328,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600040390637,307657,V1313210326,LAS CATALPAS,CALLE
151600040500003,306576,V1313210062,VITACURA,AVENIDA
151600040500003,306267,V1313210049,NUEVA COSTANERA,AVENIDA
151600040500003,306274,V1313210049,NUEVA COSTANERA,AVENIDA
151600040500003,306524,V1313210062,VITACURA,AVENIDA
151600040500003,306586,V1313210062,VITACURA,AVENIDA
151600040500003,307658,V1313210326,LAS CATALPAS,CALLE
151600040500004,306576,V1313210062,VITACURA,AVENIDA
151600040500004,306586,V1313210062,VITACURA,AVENIDA
151600040500005,306576,V1313210062,VITACURA,AVENIDA
151600040500005,306586,V1313210062,VITACURA,AVENIDA
151600040500008,308371,V1313210491,SANCHO DE LA HOZ,CALLE
151600040500008,306576,V1313210062,VITACURA,AVENIDA
151600040500008,306586,V1313210062,VITACURA,AVENIDA
151600040500008,308206,V1313210444,PAUL CLAUDEL,CALLE
151600040500009,306585,V1313210062,VITACURA,AVENIDA
151600040500009,308371,V1313210491,SANCHO DE LA HOZ,CALLE
151600040500009,309111,V1313210654,PASAJE VITACURA,PASAJE
151600040500009,306586,V1313210062,VITACURA,AVENIDA
151600040500009,308206,V1313210444,PAUL CLAUDEL,CALLE
151600040590019,307775,V1313210335,LAS NIEVES,CALLE
151600040590019,308206,V1313210444,PAUL CLAUDEL,CALLE
151600040590019,308207,V1313210444,PAUL CLAUDEL,CALLE
151600040590445,307658,V1313210326,LAS CATALPAS,CALLE
151600040590445,307657,V1313210326,LAS CATALPAS,CALLE
151600040590701,308206,V1313210444,PAUL CLAUDEL,CALLE
151600040790019,308094,V1313210417,NAVIDAD,CALLE
151600040790019,307775,V1313210335,LAS NIEVES,CALLE
151600040790248,308094,V1313210417,NAVIDAD,CALLE
151600040790248,308095,V1313210417,NAVIDAD,CALLE
151600040790248,307775,V1313210335,LAS NIEVES,CALLE
151600040790316,307775,V1313210335,LAS NIEVES,CALLE
151600040790316,308206,V1313210444,PAUL CLAUDEL,CALLE
151600040790316,308207,V1313210444,PAUL CLAUDEL,CALLE
151600040790415,307775,V1313210335,LAS NIEVES,CALLE
151600040790748,308207,V1313210444,PAUL CLAUDEL,CALLE
151600040790810,306352,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600040790810,306323,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600040790810,308207,V1313210444,PAUL CLAUDEL,CALLE
151600040900006,306585,V1313210062,VITACURA,AVENIDA
151600040900006,306627,V1313210062,VITACURA,AVENIDA
151600040900006,308371,V1313210491,SANCHO DE LA HOZ,CALLE
151600040900006,308206,V1313210444,PAUL CLAUDEL,CALLE
151600040990008,306585,V1313210062,VITACURA,AVENIDA
151600040990008,306627,V1313210062,VITACURA,AVENIDA
151600040990008,308332,V1313210477,RODRIGO DE QUIROGA,CALLE
151600040990008,306614,V1313210062,VITACURA,AVENIDA
151600040990008,306539,V1313210062,VITACURA,AVENIDA
151600040990028,306627,V1313210062,VITACURA,AVENIDA
151600040990055,308206,V1313210444,PAUL CLAUDEL,CALLE
151600040990107,307775,V1313210335,LAS NIEVES,CALLE
151600040990168,308094,V1313210417,NAVIDAD,CALLE
151600040990168,307775,V1313210335,LAS NIEVES,CALLE
151600040990208,307775,V1313210335,LAS NIEVES,CALLE
151600040990208,308206,V1313210444,PAUL CLAUDEL,CALLE
151600040990208,308207,V1313210444,PAUL CLAUDEL,CALLE
151600040990379,307775,V1313210335,LAS NIEVES,CALLE
151600040990482,308094,V1313210417,NAVIDAD,CALLE
151600040990482,307775,V1313210335,LAS NIEVES,CALLE
151600040990565,306585,V1313210062,VITACURA,AVENIDA
151600040990565,306627,V1313210062,VITACURA,AVENIDA
151600040990565,308332,V1313210477,RODRIGO DE QUIROGA,CALLE
151600040990565,306539,V1313210062,VITACURA,AVENIDA
151600041190001,308095,V1313210417,NAVIDAD,CALLE
151600041190001,306352,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600041190004,308095,V1313210417,NAVIDAD,CALLE
151600041190013,306353,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600041190434,307773,V1313210335,LAS NIEVES,CALLE
151600041190530,308094,V1313210417,NAVIDAD,CALLE
151600041190530,308095,V1313210417,NAVIDAD,CALLE
151600041300016,306515,V1313210062,VITACURA,AVENIDA
151600041300016,306614,V1313210062,VITACURA,AVENIDA
151600041300017,306515,V1313210062,VITACURA,AVENIDA
151600041300017,306614,V1313210062,VITACURA,AVENIDA
151600041300017,306632,V1313210062,VITACURA,AVENIDA
151600041300031,306614,V1313210062,VITACURA,AVENIDA
151600041390187,307773,V1313210335,LAS NIEVES,CALLE
151600041390281,308094,V1313210417,NAVIDAD,CALLE
151600041390430,308094,V1313210417,NAVIDAD,CALLE
151600041390430,308095,V1313210417,NAVIDAD,CALLE
151600041390430,307775,V1313210335,LAS NIEVES,CALLE
151600041390769,306515,V1313210062,VITACURA,AVENIDA
151600041390769,305977,V1313210035,FRANCISCO DE AGUIRRE,AVENIDA
151600041390769,306614,V1313210062,VITACURA,AVENIDA
151600041500026,307911,V1313210359,LOS ACANTOS,CALLE
151600041500026,307773,V1313210335,LAS NIEVES,CALLE
151600041500026,307770,V1313210335,LAS NIEVES,CALLE
151600041500028,307911,V1313210359,LOS ACANTOS,CALLE
151600041500028,307773,V1313210335,LAS NIEVES,CALLE
151600041500028,307770,V1313210335,LAS NIEVES,CALLE
151600041590039,306353,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600041590612,306340,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600041590612,306353,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600041590612,307912,V1313210359,LOS ACANTOS,CALLE
151600041700007,306614,V1313210062,VITACURA,AVENIDA
151600041700007,306632,V1313210062,VITACURA,AVENIDA
151600041700009,307773,V1313210335,LAS NIEVES,CALLE
151600041700010,307911,V1313210359,LOS ACANTOS,CALLE
151600041700010,307773,V1313210335,LAS NIEVES,CALLE
151600041700010,307770,V1313210335,LAS NIEVES,CALLE
151600041700011,307911,V1313210359,LOS ACANTOS,CALLE
151600041700011,307773,V1313210335,LAS NIEVES,CALLE
151600041700011,307770,V1313210335,LAS NIEVES,CALLE
151600041790020,307773,V1313210335,LAS NIEVES,CALLE
151600041790138,307911,V1313210359,LOS ACANTOS,CALLE
151600041790203,307911,V1313210359,LOS ACANTOS,CALLE
151600041790203,307773,V1313210335,LAS NIEVES,CALLE
151600041790203,307770,V1313210335,LAS NIEVES,CALLE
151600041790425,307911,V1313210359,LOS ACANTOS,CALLE
151600041790533,307911,V1313210359,LOS ACANTOS,CALLE
151600041790533,306598,V1313210062,VITACURA,AVENIDA
151600041790533,306632,V1313210062,VITACURA,AVENIDA
151600041900014,306340,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600041900014,306353,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600041900014,307912,V1313210359,LOS ACANTOS,CALLE
151600041900020,307220,V1313210224,EL CIRUELILLO,CALLE
151600041900021,307220,V1313210224,EL CIRUELILLO,CALLE
151600041900021,307254,V1313210232,EL MATICO,CALLE
151600041990027,307911,V1313210359,LOS ACANTOS,CALLE
151600041990027,307773,V1313210335,LAS NIEVES,CALLE
151600041990027,307770,V1313210335,LAS NIEVES,CALLE
151600041990114,306324,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600041990114,306340,V1313210053,PRESIDENTE KENNEDY,AVENIDA
151600041990114,307220,V1313210224,EL CIRUELILLO,CALLE
151600041990114,307912,V1313210359,LOS ACANTOS,CALLE
151600041990114,307947,V1313210369,LOS LAURELES,CALLE
151600041990291,307220,V1313210224,EL CIRUELILLO,CALLE
151600041990445,307774,V1313210335,LAS NIEVES,CALLE
151600041990445,307241,V1313210228,EL LITRE,CALLE
151600041990445,307770,V1313210335,LAS NIEVES,CALLE
151600041990445,307254,V1313210232,EL MATICO,CALLE
151600042100012,307911,V1313210359,LOS ACANTOS,CALLE
151600042100013,307911,V1313210359,LOS ACANTOS,CALLE
151600042100028,307911,V1313210359,LOS ACANTOS,CALLE
151600042100028,305614,V1313210003,ALONSO DE CORDOVA,AVENIDA
151600042100028,305625,V1313210003,ALONSO DE CORDOVA,AVENIDA
151600042100028,306598,V1313210062,VITACURA,AVENIDA
151600042100028,306629,V1313210062,VITACURA,AVENIDA
151600042100028,307243,V1313210228,EL LITRE,CALLE
151600042100028,306632,V1313210062,VITACURA,AVENIDA
151600042190015,307911,V1313210359,LOS ACANTOS,CALLE
151600042190015,306598,V1313210062,VITACURA,AVENIDA
151600042190015,306632,V1313210062,VITACURA,AVENIDA
151600042190016,306598,V1313210062,VITACURA,AVENIDA
151600042190016,307243,V1313210228,EL LITRE,CALLE
151600042190016,306632,V1313210062,VITACURA,AVENIDA
151600042190044,307911,V1313210359,LOS ACANTOS,CALLE
151600042190044,306598,V1313210062,VITACURA,AVENIDA
151600042190051,307911,V1313210359,LOS ACANTOS,CALLE
151600042190051,307223,V1313210226,EL COIGUE,CALLE
151600042190051,307773,V1313210335,LAS NIEVES,CALLE
151600042190051,307774,V1313210335,LAS NIEVES,CALLE
151600042190051,307241,V1313210228,EL LITRE,CALLE
151600042190051,307243,V1313210228,EL LITRE,CALLE
151600042190051,307770,V1313210335,LAS NIEVES,CALLE
151600042190232,307911,V1313210359,LOS ACANTOS,CALLE
151600042190232,307223,V1313210226,EL COIGUE,CALLE
151600042190232,307241,V1313210228,EL LITRE,CALLE
151600042190232,307243,V1313210228,EL LITRE,CALLE
151600042300003,307258,V1313210234,EL PANGUE,CALLE
151600042300003,307918,V1313210362,LOS COLIGUES,CALLE
151600042390014,307258,V1313210234,EL PANGUE,CALLE
