codigo_predial|manzent|bypassability|strategic_power
151600058300029|13132011003008|0.9596940549310464|-125.0
151600058300030|13132011003008|0.9546492057270652|-139.0
151600058300031|13132011003008|0.992864733566115|-78.0
151600058300018|13132011003008|0.956671131559024|1128.0
151600058300028|13132011003008|0.9865963855421687|-98.0
151600058300025|13132011003008|0.8864426419466975|700.0
151600058300026|13132011003008|0.8553938744383528|600.0
151600058300027|13132011003008|0.9342668047363919|600.0
151600058300022|13132011003008|0.9952136384414746|413.0
151600058300035|13132011003008|0.9778229992939906|-88.0
151600058300019|13132011003008|1.0|0.0
151600058300020|13132011003008|1.0|0.0
151600058300021|13132011003008|1.0|235.0
151600058300023|13132011003008|0.9767392850557151|470.0
151600058300024|13132011003008|0.9872197667607434|480.0
151600058300012|13132011003008|0.0|583.0
151600058300046|13132011003008|0.8402366863905325|-36.0
151600058300047|13132011003008|0.6297101449275362|-11.0
151600058300048|13132011003008|0.8291984732824428|-2.0
151600058300017|13132011003008|0.0|648.0
151600058300007|13132011003008|0.6640834575260804|767.0
151600058300006|13132011003008|0.6692700510663863|741.0
151600058300002|13132011003008|0.0|618.0
151600058300054|13132011003008|0.0|-143.0
151600058300041|13132011003008|0.0|-208.0
151600053500013|13132011003009|0.0|0.0
151600053500014|13132011003009|0.0|0.0
151600053100011|13132011003010|0.0|0.0
151600057900042|13132011003011|0.9081473793461339|-144.0
151600057900032|13132011003011|0.84|-41.0
151600057900033|13132011003011|0.6470588235294118|-41.0
151600057900041|13132011003011|0.9406239516940624|-144.0
151600057900047|13132011003011|0.6671578947368421|-144.0
151600057900019|13132011003011|0.8694591297275315|20.5
151600057900020|13132011003011|1.0|20.5
151600057900021|13132011003011|1.0|20.5
151600057900018|13132011003011|0.8062015503875969|-194.0
151600057900048|13132011003011|0.7803496675695641|45.5
151600057900049|13132011003011|0.8219056099732859|-121.0
151600057900046|13132011003011|0.9387096774193548|-150.0
151600057900017|13132011003011|0.6770450042456836|20.5
151600057900038|13132011003011|0.0|386.5
151600057900039|13132011003011|1.0|50.5
151600057900006|13132011003011|0.0|268.5
151600057900009|13132011003011|0.7309384164222874|433.5
151600057900040|13132011003011|1.0|-148.0
151600057900001|13132011003011|0.6507042253521127|71.5
151600057900007|13132011003011|0.0|-109.0
151600057900034|13132011003011|0.8148148148148148|49.5
151600057900010|13132011003011|0.6127842655193608|959.5
151600057900016|13132011003011|1.0|-127.0
151600057300017|13132011003012|0.0|-262.0
151600057300006|13132011003012|0.0|765.0
151600057300007|13132011003012|1.0|165.0
151600057300018|13132011003012|0.0|-165.0
151600057500002|13132011003013|1.0|-40.0
151600057500003|13132011003013|0.9660947186993543|379.0
151600057500004|13132011003013|0.9287270908506305|388.0
151600057500005|13132011003013|0.84862935776957|388.0
151600057500006|13132011003013|0.8823748642911542|-56.0
151600057500007|13132011003013|0.9259652142585514|-54.0
151600057500008|13132011003013|0.9458145018667715|623.0
151600057500012|13132011003013|0.840915082457014|0.0
151600057500013|13132011003013|0.8854891195385636|0.0
151600057500014|13132011003013|0.9274305824116328|0.0
151600057500015|13132011003013|0.977427445360086|-446.0
151600057500016|13132011003013|0.9402438498987549|7.0
151600057500017|13132011003013|1.0|-423.0
151600057500010|13132011003013|0.9356142944091818|0.0
151600057500011|13132011003013|0.8997080598074162|0.0
151600057500001|13132011003013|1.0|-480.0
151600055700002|13132011003015|0.9223799456357595|-201.0
151600055700020|13132011003015|0.6709237228831351|518.5
151600055700021|13132011003015|0.6379970054899351|552.5
151600055700003|13132011003015|0.8331520556884925|83.5
151600055700004|13132011003015|0.6252040483186418|844.5
151600055700013|13132011003015|0.9612584503380135|-417.0
151600055700014|13132011003015|0.9375582479030755|-477.0
151600055700015|13132011003015|0.9185117553070076|-477.0
151600055700012|13132011003015|0.6261083743842365|328.5
151600055700016|13132011003015|0.9683173588924388|-477.0
151600055700017|13132011003015|0.6631578947368421|340.5
151600055700019|13132011003015|0.8761766835626358|347.5
151600055700045|13132011003015|0.8584474885844748|-219.0
151600055700001|13132011003015|0.9229374433363554|-205.0
151600055700008|13132011003015|0.6645600388915897|-18.5
151600055700022|13132011003015|0.6633303002729755|56.5
151600055700009|13132011003015|0.6687866927592955|-38.0
151600055700005|13132011003015|1.0|76.5
151600055700018|13132011003015|1.0|-197.0
151600055700010|13132011003015|0.0|56.5
151600055700044|13132011003015|0.8584474885844748|-219.0
151600052900015|13132011003016|0.9912883998165979|-36.0
151600052900016|13132011003016|0.9787258119271246|-116.0
151600052900017|13132011003016|0.9911757964703186|-32.0
151600052900018|13132011003016|0.8456484348125215|3111.0
151600052900013|13132011003016|1.0|671.0
151600052900014|13132011003016|0.8986455082663833|1694.0
151600052900007|13132011003016|0.6667769688947717|671.0
151600052900008|13132011003016|0.4972559454515217|672.0
151600052900006|13132011003016|0.6962247585601404|-108.0
151600052900010|13132011003016|0.8854337152209493|-88.0
151600052900002|13132011003016|0.0|414.0
151600052900019|13132011003016|1.0|2071.0
151600052900003|13132011003016|0.693267944716897|-112.0
151600052900004|13132011003016|0.6746490503715937|-60.0
151600052900009|13132011003016|0.9507620164126612|-4.0
151600052900011|13132011003016|0.9502341920374707|4.0
151600052900012|13132011003016|0.49989945706816813|718.0
151600052900005|13132011003016|0.6588709677419354|-33.0
151600052700001|13132011003017|0.8172708757637475|3453.0
151600052700007|13132011003017|1.0|1210.0
151600052700011|13132011003017|0.9275147928994083|1994.0
151600052700008|13132011003017|0.0|-1359.5
151600052700009|13132011003017|0.0|149.5
151600052700003|13132011003017|0.0|-2216.5
151600052700002|13132011003017|0.0|-1843.5
151600055300024|13132011003018|0.880071599045346|-342.0
151600055300020|13132011003018|0.904562383612663|-683.0
151600055300021|13132011003018|0.9312245387011742|-761.0
151600055300026|13132011003018|0.8433036917272972|263.0
151600055300010|13132011003018|1.0|60.0
151600055300011|13132011003018|0.904097771387491|727.0
151600055300012|13132011003018|0.904097771387491|727.0
151600055300028|13132011003018|0.8819654619903863|723.0
151600055300001|13132011003018|0.8723110865968009|-210.0
151600055300016|13132011003018|0.6173957403392425|100.0
151600055300005|13132011003018|0.5947109471094711|2395.0
151600055300023|13132011003018|0.909459655222367|350.0
151600055300025|13132011003018|0.8188121402407117|-342.0
151600055300014|13132011003018|1.0|-560.0
