id_combi,id_segmento_calle,codigo_calle,nombre_calle,tipo_calle,id_edge,num_edges,edge,geom_wkt
13132041005030_4394,308905,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,2,13,"[-70.56993533381983, -33.38733020897226]","POLYGON((-70.56993533381983 -33.38733020897226, -70.56981374034449 -33.38751385293683, -70.56953183146136 -33.38738249504154, -70.56965342536972 -33.38719885133755, -70.56993533381983 -33.38733020897226))"
13132041005030_4394,308905,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,3,13,"[-70.57000685939356, -33.38722047032047]","POLYGON((-70.57000685939356 -33.38722047032047, -70.56993533381983 -33.38733020897226, -70.5696523906203 -33.38720042643844, -70.56972391645692 -33.387090687940294, -70.57000685939356 -33.38722047032047))"
13132041005030_4503,306879,V1313210145,BUENAVENTURA,CALLE,5,8,"[-70.5698414565043, -33.386638927805976]","POLYGON((-70.5698414565043 -33.386638927805976, -70.5697565198855 -33.38662772990166, -70.56980658424135 -33.38636048659289, -70.56989152060372 -33.38637168447082, -70.5698414565043 -33.386638927805976))"
13132041005030_4503,306879,V1313210145,BUENAVENTURA,CALLE,6,8,"[-70.56988079556986, -33.3866665492971]","POLYGON((-70.56988079556986 -33.3866665492971, -70.5698414565043 -33.386638927805976, -70.57004843016333 -33.386431478023, -70.57008776919544 -33.386459099450185, -70.56988079556986 -33.3866665492971))"
13132041005030_4503,306879,V1313210145,BUENAVENTURA,CALLE,7,8,"[-70.57010699519678, -33.386769569916304]","POLYGON((-70.57010699519678 -33.386769569916304, -70.56988079556986 -33.3866665492971, -70.57003465547491 -33.386428803589865, -70.57026085464406 -33.386531823945035, -70.57010699519678 -33.386769569916304))"
13132041005030_4503,306879,V1313210145,BUENAVENTURA,CALLE,8,8,"[-70.57022501239344, -33.38682331975612]","POLYGON((-70.57022501239344 -33.38682331975612, -70.57010699519678 -33.386769569916304, -70.57026085512261 -33.38653182416299, -70.57037887208044 -33.386585573865034, -70.57022501239344 -33.38682331975612))"
13132041005030_4505,306879,V1313210145,BUENAVENTURA,CALLE,7,11,"[-70.5698414565043, -33.386638927805976]","POLYGON((-70.5698414565043 -33.386638927805976, -70.5697565198855 -33.38662772990166, -70.56980658424135 -33.38636048659289, -70.56989152060372 -33.38637168447082, -70.5698414565043 -33.386638927805976))"
13132041005030_4505,306879,V1313210145,BUENAVENTURA,CALLE,8,11,"[-70.56988079556986, -33.3866665492971]","POLYGON((-70.56988079556986 -33.3866665492971, -70.5698414565043 -33.386638927805976, -70.57004843016333 -33.386431478023, -70.57008776919544 -33.386459099450185, -70.56988079556986 -33.3866665492971))"
13132041005030_4505,306879,V1313210145,BUENAVENTURA,CALLE,9,11,"[-70.57010699519678, -33.386769569916304]","POLYGON((-70.57010699519678 -33.386769569916304, -70.56988079556986 -33.3866665492971, -70.57003465547491 -33.386428803589865, -70.57026085464406 -33.386531823945035, -70.57010699519678 -33.386769569916304))"
13132041005030_4505,306879,V1313210145,BUENAVENTURA,CALLE,10,11,"[-70.57022501239344, -33.38682331975612]","POLYGON((-70.57022501239344 -33.38682331975612, -70.57010699519678 -33.386769569916304, -70.57026085512261 -33.38653182416299, -70.57037887208044 -33.386585573865034, -70.57022501239344 -33.38682331975612))"
13132041005030_4505,306879,V1313210145,BUENAVENTURA,CALLE,11,11,"[-70.57026524552866, -33.386836757210894]","POLYGON((-70.57026524552866 -33.386836757210894, -70.57022501239344 -33.38682331975612, -70.57034429293114 -33.38657198331118, -70.57038452596568 -33.38658542073064, -70.57026524552866 -33.386836757210894))"
13132041005030_4704,306879,V1313210145,BUENAVENTURA,CALLE,1,8,"[-70.5698414565043, -33.386638927805976]","POLYGON((-70.5698414565043 -33.386638927805976, -70.5697565198855 -33.38662772990166, -70.56980658424135 -33.38636048659289, -70.56989152060372 -33.38637168447082, -70.5698414565043 -33.386638927805976))"
13132041005030_4704,306879,V1313210145,BUENAVENTURA,CALLE,2,8,"[-70.56988079556986, -33.3866665492971]","POLYGON((-70.56988079556986 -33.3866665492971, -70.5698414565043 -33.386638927805976, -70.57004843016333 -33.386431478023, -70.57008776919544 -33.386459099450185, -70.56988079556986 -33.3866665492971))"
13132041005030_4704,306879,V1313210145,BUENAVENTURA,CALLE,3,8,"[-70.57010699519678, -33.386769569916304]","POLYGON((-70.57010699519678 -33.386769569916304, -70.56988079556986 -33.3866665492971, -70.57003465547491 -33.386428803589865, -70.57026085464406 -33.386531823945035, -70.57010699519678 -33.386769569916304))"
13132041005030_4704,308903,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,5,8,"[-70.56965012559459, -33.3870047252202]","POLYGON((-70.56965012559459 -33.3870047252202, -70.56987811336084 -33.38711819675837, -70.56971357097498 -33.38735085449192, -70.56948558278988 -33.387237382666946, -70.56965012559459 -33.3870047252202))"
13132041005030_4704,308903,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,6,8,"[-70.56954104909464, -33.38695321506516]","POLYGON((-70.56954104909464 -33.38695321506516, -70.56965012559459 -33.3870047252202, -70.5694919365702 -33.387240463556665, -70.56938285985747 -33.387188953270304, -70.56954104909464 -33.38695321506516))"
13132041005030_4741,308903,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,1,9,"[-70.56965012559459, -33.3870047252202]","POLYGON((-70.56965012559459 -33.3870047252202, -70.56987811336084 -33.38711894328114, -70.56971277234715 -33.387351202225794, -70.5694847841654 -33.3872369838765, -70.56965012559459 -33.3870047252202))"
13132041005030_4741,308903,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,2,9,"[-70.56954104909464, -33.38695321506516]","POLYGON((-70.56954104909464 -33.38695321506516, -70.56965012559459 -33.3870047252202, -70.5694919365702 -33.387240463556665, -70.56938285985747 -33.387188953270304, -70.56954104909464 -33.38695321506516))"
